,Name_197,stockType_197,Name-EOD,Type-EOD,securityType-FIGI,securityType2-FIGI,type_match
11360,Medigus Ltd - Spon Adr,Adr,Medigus Ltd Adr,Common Stock,Adr,Depositary Receipt,-1
11375,Medley Capital Corp,Preferred Stock,,,Common Stock,Common Stock,-1
11376,Medley Capital Corp,Preferred Stock,,,Common Stock,Common Stock,-1
11394,Megacable Holdings-Cpo,Unit,Megacable Holdings S. A. B. De C. V,Common Stock,Unit,Unit,-1
11400,Meggitt Plc-Unspon Adr,Adr,Meggitt Plc Adr,Common Stock,Adr,Depositary Receipt,-1
11455,Mercantile Investment Trust,Closed-End Fund,The Mercantile Investment Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
11462,Merchants Trust Plc,Closed-End Fund,Merchants Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
11483,Merlin Properties Socimi Sa,Reit,Merlin Properties Socimi Sa,Common Stock,Reit,Reit,-1
11496,Mesa Royalty Trust,Royalty Trst,Mesa Royalty Trust,Common Stock,Royalty Trst,Common Stock,-1
11497,Mesabi Trust,Royalty Trst,Mesabi Trust,Common Stock,Royalty Trst,Common Stock,-1
11552,Mfa Financial Inc,Reit,Mfa Financial Inc,Common Stock,Reit,Reit,-1
11553,Mfa Financial Inc,Preferred Stock,Mfa Financial Inc,Common Stock,Reit,Reit,-1
11555,Mfs Charter Income Trust,Closed-End Fund,Mfs Charter Income Trust,Common Stock,Closed-End Fund,Mutual Fund,-1
11556,Mfs Municipal Income Trust,Closed-End Fund,Mfs Municipal Income Trust,Common Stock,Closed-End Fund,Mutual Fund,-1
11557,Mfs Special Value Trust,Closed-End Fund,Mfs Special Value Trust,Common Stock,Closed-End Fund,Mutual Fund,-1
11719,Mirrabooka Investments Limited,Closed-End Fund,Mirrabooka Investments Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
11721,Mirvac Group,Reit,Mirvac Group,Common Stock,Reit,Reit,-1
11750,Mitsubishi Estate Logistics,Reit,Mitsubishi Estate Logistics Reit Investment Corp,Common Stock,Reit,Reit,-1
11764,Mitsui Fudosan Logistics Par,Reit,Mitsui Fudosan Logistics Park Inc,Common Stock,Reit,Reit,-1
11774,Mix Telematics Ltd-Sp Adr,Adr,Mix Telemats Ltd,Common Stock,Adr,Depositary Receipt,-1
11817,Mobius Investment Trust Plc,Closed-End Fund,Mobius Investment Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
11883,Monks Investment Trust Plc,Closed-End Fund,Monks Investment Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
11917,Mori Trust Hotel Reit Inc,Reit,Mori Trust Hotel Reit Inc,Common Stock,Reit,Reit,-1
